id,createdAt,userName,fullText,replyTo,lang,quoteCount,retweetCount,replyCount,retweetCount,likeCount
1764944826636669205,Tue Mar 05 09:23:32 +0000 2024,Rebecca98869736,@elonmusk This company should be broken down into parts for abuse of dominant position 🤬.,1764879594056733091,en,0,0,0,0,0
1764944820454195379,Tue Mar 05 09:23:30 +0000 2024,MwangiriM,"@elonmusk When that worse than 9/11 things happen la guess who will be blamed, the Iranians.",1764885292199063590,en,0,0,0,0,0
1764944812665671755,Tue Mar 05 09:23:29 +0000 2024,benjaminzzz3,"@elonmusk They're already calling you terrorists now for confirmation bias, so they can use the media to push that they were right all along, just like they pushed Jan 7th as an insurrection. You will become enemies of the state by proxy. It's all planned. More drastic gun laws incoming.",1764944174888227224,en,0,0,0,0,0
1764944809259647053,Tue Mar 05 09:23:28 +0000 2024,younge199,"@elonmusk Woke means taking other people's feelings into consideration, how is that bad?.",1764775267887698126,en,0,0,0,0,0
1764944805660852375,Tue Mar 05 09:23:27 +0000 2024,BHolmesNL1988,@elonmusk This is the dumbest shit I have ever seen. Vote Republican. Enjoy a fresh EMP that brings North America back to the stone age.,1764852993344536578,en,0,0,0,0,0
1764944802901041554,Tue Mar 05 09:23:26 +0000 2024,BibakumanaJado,@elonmusk @elonmusk You should send me one cybertruck in Africa. This stuff is for our roads and people who just like to crash cars for no reason.😑.,1764859888209973430,en,0,0,0,0,0
1764944783183679988,Tue Mar 05 09:23:22 +0000 2024,nous_anarchy,Έτσι το έχεις καταντήσει. Ηλίθια διαφήμιση ανά δύο posts @elonmusk.,,el,0,0,0,0,0
1764944774245814682,Tue Mar 05 09:23:19 +0000 2024,victorianchan,"@MarioNawfal @elonmusk Other metrics are used to determine the attractiveness of a share, share growth is merely a reflection of how much the stock pays its shareholders. It's established that Elon was willing to pay a premium for Twitter shares, so even the metric of price ratio isn't adequate. /1.",1764755197140607018,en,0,0,0,0,0
1764944773507420331,Tue Mar 05 09:23:19 +0000 2024,wtfesunagorda,Ah gordo tenias q ser elon musk https://t.co/nLgHDefdG6.,,es,0,0,0,0,0
1764944770269430231,Tue Mar 05 09:23:18 +0000 2024,Havertzisimo_29,@elonmusk Still looks ugly AF.,1764859888209973430,en,0,0,0,0,0
1764944769908625581,Tue Mar 05 09:23:18 +0000 2024,mlungu16,@NONbiasedly @elonmusk True 👍.,1764922978008023416,en,0,0,0,0,0
1764944767807598847,Tue Mar 05 09:23:18 +0000 2024,chrisxtheline,"@elonmusk Bro, hate to tell you but illegal immigrants can't vote.",1764885292199063590,en,0,0,0,0,0
